testb0   ---D---- ---S---- CZ = ---Q---- CZ
12  080  00000000 80000000 00 = 00000000 00
12  081  00000000 80000000 01 = 00000000 01
12  082  00000000 80000000 10 = 00000000 10
12  083  00000000 80000000 11 = 00000000 11
12  084  00000001 80000000 00 = 00000000 00
12  085  00000001 80000000 01 = 00000000 01
12  086  00000001 80000000 10 = 00000000 10
12  087  00000001 80000000 11 = 00000000 11
12  088  00000002 80000000 00 = 00000000 00
12  089  00000002 80000000 01 = 00000000 01
12  08A  00000002 80000000 10 = 00000000 10
12  08B  00000002 80000000 11 = 00000000 11
12  08C  7FFFFFFF 80000000 00 = 00000000 00
12  08D  7FFFFFFF 80000000 01 = 00000000 01
12  08E  7FFFFFFF 80000000 10 = 00000000 10
12  08F  7FFFFFFF 80000000 11 = 00000000 11
12  090  80000000 80000000 00 = 00000000 00
12  091  80000000 80000000 01 = 00000000 01
12  092  80000000 80000000 10 = 00000000 10
12  093  80000000 80000000 11 = 00000000 11
12  094  80000001 80000000 00 = 00000000 00
12  095  80000001 80000000 01 = 00000000 01
12  096  80000001 80000000 10 = 00000000 10
12  097  80000001 80000000 11 = 00000000 11
12  098  FFFFFFFE 80000000 00 = 00000000 00
12  099  FFFFFFFE 80000000 01 = 00000000 01
12  09A  FFFFFFFE 80000000 10 = 00000000 10
12  09B  FFFFFFFE 80000000 11 = 00000000 11
12  09C  FFFFFFFF 80000000 00 = 00000000 00
12  09D  FFFFFFFF 80000000 01 = 00000000 01
12  09E  FFFFFFFF 80000000 10 = 00000000 10
12  09F  FFFFFFFF 80000000 11 = 00000000 11
12  0A0  00000000 80000001 00 = 00000000 00
12  0A1  00000000 80000001 01 = 00000000 01
12  0A2  00000000 80000001 10 = 00000000 10
12  0A3  00000000 80000001 11 = 00000000 11
12  0A4  00000001 80000001 00 = 00000000 00
12  0A5  00000001 80000001 01 = 00000000 01
12  0A6  00000001 80000001 10 = 00000000 10
12  0A7  00000001 80000001 11 = 00000000 11
12  0A8  00000002 80000001 00 = 00000000 00
12  0A9  00000002 80000001 01 = 00000000 01
12  0AA  00000002 80000001 10 = 00000000 10
12  0AB  00000002 80000001 11 = 00000000 11
12  0AC  7FFFFFFF 80000001 00 = 00000000 00
12  0AD  7FFFFFFF 80000001 01 = 00000000 01
12  0AE  7FFFFFFF 80000001 10 = 00000000 10
12  0AF  7FFFFFFF 80000001 11 = 00000000 11
12  0B0  80000000 80000001 00 = 00000000 00
12  0B1  80000000 80000001 01 = 00000000 01
12  0B2  80000000 80000001 10 = 00000000 10
12  0B3  80000000 80000001 11 = 00000000 11
12  0B4  80000001 80000001 00 = 00000000 00
12  0B5  80000001 80000001 01 = 00000000 01
12  0B6  80000001 80000001 10 = 00000000 10
12  0B7  80000001 80000001 11 = 00000000 11
12  0B8  FFFFFFFE 80000001 00 = 00000000 00
12  0B9  FFFFFFFE 80000001 01 = 00000000 01
12  0BA  FFFFFFFE 80000001 10 = 00000000 10
12  0BB  FFFFFFFE 80000001 11 = 00000000 11
12  0BC  FFFFFFFF 80000001 00 = 00000000 00
12  0BD  FFFFFFFF 80000001 01 = 00000000 01
12  0BE  FFFFFFFF 80000001 10 = 00000000 10
12  0BF  FFFFFFFF 80000001 11 = 00000000 11
12  0C0  00000000 FFFFFFFE 00 = 0000000F 00
12  0C1  00000000 FFFFFFFE 01 = 0000000F 01
12  0C2  00000000 FFFFFFFE 10 = 0000000F 10
12  0C3  00000000 FFFFFFFE 11 = 0000000F 11
12  0C4  00000001 FFFFFFFE 00 = 0000000F 00
12  0C5  00000001 FFFFFFFE 01 = 0000000F 01
12  0C6  00000001 FFFFFFFE 10 = 0000000F 10
12  0C7  00000001 FFFFFFFE 11 = 0000000F 11
12  0C8  00000002 FFFFFFFE 00 = 0000000F 00
12  0C9  00000002 FFFFFFFE 01 = 0000000F 01
12  0CA  00000002 FFFFFFFE 10 = 0000000F 10
12  0CB  00000002 FFFFFFFE 11 = 0000000F 11
12  0CC  7FFFFFFF FFFFFFFE 00 = 0000000F 00
12  0CD  7FFFFFFF FFFFFFFE 01 = 0000000F 01
12  0CE  7FFFFFFF FFFFFFFE 10 = 0000000F 10
12  0CF  7FFFFFFF FFFFFFFE 11 = 0000000F 11
12  0D0  80000000 FFFFFFFE 00 = 0000000F 00
12  0D1  80000000 FFFFFFFE 01 = 0000000F 01
12  0D2  80000000 FFFFFFFE 10 = 0000000F 10
12  0D3  80000000 FFFFFFFE 11 = 0000000F 11
12  0D4  80000001 FFFFFFFE 00 = 0000000F 00
12  0D5  80000001 FFFFFFFE 01 = 0000000F 01
12  0D6  80000001 FFFFFFFE 10 = 0000000F 10
12  0D7  80000001 FFFFFFFE 11 = 0000000F 11
12  0D8  FFFFFFFE FFFFFFFE 00 = 0000000F 00
12  0D9  FFFFFFFE FFFFFFFE 01 = 0000000F 01
12  0DA  FFFFFFFE FFFFFFFE 10 = 0000000F 10
12  0DB  FFFFFFFE FFFFFFFE 11 = 0000000F 11
12  0DC  FFFFFFFF FFFFFFFE 00 = 0000000F 00
12  0DD  FFFFFFFF FFFFFFFE 01 = 0000000F 01
12  0DE  FFFFFFFF FFFFFFFE 10 = 0000000F 10
12  0DF  FFFFFFFF FFFFFFFE 11 = 0000000F 11
12  0E0  00000000 FFFFFFFF 00 = 0000000F 00
12  0E1  00000000 FFFFFFFF 01 = 0000000F 01
12  0E2  00000000 FFFFFFFF 10 = 0000000F 10
12  0E3  00000000 FFFFFFFF 11 = 0000000F 11
12  0E4  00000001 FFFFFFFF 00 = 0000000F 00
12  0E5  00000001 FFFFFFFF 01 = 0000000F 01
12  0E6  00000001 FFFFFFFF 10 = 0000000F 10
12  0E7  00000001 FFFFFFFF 11 = 0000000F 11
12  0E8  00000002 FFFFFFFF 00 = 0000000F 00
12  0E9  00000002 FFFFFFFF 01 = 0000000F 01
12  0EA  00000002 FFFFFFFF 10 = 0000000F 10
12  0EB  00000002 FFFFFFFF 11 = 0000000F 11
12  0EC  7FFFFFFF FFFFFFFF 00 = 0000000F 00
12  0ED  7FFFFFFF FFFFFFFF 01 = 0000000F 01
12  0EE  7FFFFFFF FFFFFFFF 10 = 0000000F 10
12  0EF  7FFFFFFF FFFFFFFF 11 = 0000000F 11
12  0F0  80000000 FFFFFFFF 00 = 0000000F 00
12  0F1  80000000 FFFFFFFF 01 = 0000000F 01
12  0F2  80000000 FFFFFFFF 10 = 0000000F 10
12  0F3  80000000 FFFFFFFF 11 = 0000000F 11
12  0F4  80000001 FFFFFFFF 00 = 0000000F 00
12  0F5  80000001 FFFFFFFF 01 = 0000000F 01
12  0F6  80000001 FFFFFFFF 10 = 0000000F 10
12  0F7  80000001 FFFFFFFF 11 = 0000000F 11
12  0F8  FFFFFFFE FFFFFFFF 00 = 0000000F 00
12  0F9  FFFFFFFE FFFFFFFF 01 = 0000000F 01
12  0FA  FFFFFFFE FFFFFFFF 10 = 0000000F 10
12  0FB  FFFFFFFE FFFFFFFF 11 = 0000000F 11
12  0FC  FFFFFFFF FFFFFFFF 00 = 0000000F 00
12  0FD  FFFFFFFF FFFFFFFF 01 = 0000000F 01
12  0FE  FFFFFFFF FFFFFFFF 10 = 0000000F 10
12  0FF  FFFFFFFF FFFFFFFF 11 = 0000000F 11
getnib3  ---D---- ---S---- CZ = ---Q---- CZ
13  000  00000000 00000000 00 = 00000000 00
13  001  00000000 00000000 01 = 00000000 01
13  002  00000000 00000000 10 = 00000000 10
13  003  00000000 00000000 11 = 00000000 11
13  004  00000001 00000000 00 = 00000000 00
13  005  00000001 00000000 01 = 00000000 01
13  006  00000001 00000000 10 = 00000000 10
13  007  00000001 00000000 11 = 00000000 11
13  008  00000002 00000000 00 = 00000000 00
13  009  00000002 00000000 01 = 00000000 01
13  00A  00000002 00000000 10 = 00000000 10
13  00B  00000002 00000000 11 = 00000000 11
13  00C  7FFFFFFF 00000000 00 = 00000000 00
13  00D  7FFFFFFF 00000000 01 = 00000000 01
13  00E  7FFFFFFF 00000000 10 = 00000000 10
13  00F  7FFFFFFF 00000000 11 = 00000000 11
13  010  80000000 00000000 00 = 00000000 00
13  011  80000000 00000000 01 = 00000000 01
13  012  80000000 00000000 10 = 00000000 10
13  013  80000000 00000000 11 = 00000000 11
13  014  80000001 00000000 00 = 00000000 00
13  015  80000001 00000000 01 = 00000000 01
13  016  80000001 00000000 10 = 00000000 10
13  017  80000001 00000000 11 = 00000000 11
13  018  FFFFFFFE 00000000 00 = 00000000 00
13  019  FFFFFFFE 00000000 01 = 00000000 01
13  01A  FFFFFFFE 00000000 10 = 00000000 10
13  01B  FFFFFFFE 00000000 11 = 00000000 11
13  01C  FFFFFFFF 00000000 00 = 00000000 00
13  01D  FFFFFFFF 00000000 01 = 00000000 01
13  01E  FFFFFFFF 00000000 10 = 00000000 10
13  01F  FFFFFFFF 00000000 11 = 00000000 11
13  020  00000000 00000001 00 = 00000000 00
13  021  00000000 00000001 01 = 00000000 01
13  022  00000000 00000001 10 = 00000000 10
13  023  00000000 00000001 11 = 00000000 11
13  024  00000001 00000001 00 = 00000000 00
13  025  00000001 00000001 01 = 00000000 01
13  026  00000001 00000001 10 = 00000000 10
13  027  00000001 00000001 11 = 00000000 11
13  028  00000002 00000001 00 = 00000000 00
13  029  00000002 00000001 01 = 00000000 01
13  02A  00000002 00000001 10 = 00000000 10
13  02B  00000002 00000001 11 = 00000000 11
13  02C  7FFFFFFF 00000001 00 = 00000000 00
13  02D  7FFFFFFF 00000001 01 = 00000000 01
13  02E  7FFFFFFF 00000001 10 = 00000000 10
13  02F  7FFFFFFF 00000001 11 = 00000000 11
13  030  80000000 00000001 00 = 00000000 00
13  031  80000000 00000001 01 = 00000000 01
13  032  80000000 00000001 10 = 00000000 10
13  033  80000000 00000001 11 = 00000000 11
13  034  80000001 00000001 00 = 00000000 00
13  035  80000001 00000001 01 = 00000000 01
13  036  80000001 00000001 10 = 00000000 10
13  037  80000001 00000001 11 = 00000000 11
13  038  FFFFFFFE 00000001 00 = 00000000 00
13  039  FFFFFFFE 00000001 01 = 00000000 01
13  03A  FFFFFFFE 00000001 10 = 00000000 10
13  03B  FFFFFFFE 00000001 11 = 00000000 11
13  03C  FFFFFFFF 00000001 00 = 00000000 00
13  03D  FFFFFFFF 00000001 01 = 00000000 01
13  03E  FFFFFFFF 00000001 10 = 00000000 10
13  03F  FFFFFFFF 00000001 11 = 00000000 11
13  040  00000000 00000002 00 = 00000000 00
13  041  00000000 00000002 01 = 00000000 01
13  042  00000000 00000002 10 = 00000000 10
13  043  00000000 00000002 11 = 00000000 11
13  044  00000001 00000002 00 = 00000000 00
13  045  00000001 00000002 01 = 00000000 01
13  046  00000001 00000002 10 = 00000000 10
13  047  00000001 00000002 11 = 00000000 11
13  048  00000002 00000002 00 = 00000000 00
13  049  00000002 00000002 01 = 00000000 01
13  04A  00000002 00000002 10 = 00000000 10
13  04B  00000002 00000002 11 = 00000000 11
13  04C  7FFFFFFF 00000002 00 = 00000000 00
13  04D  7FFFFFFF 00000002 01 = 00000000 01
13  04E  7FFFFFFF 00000002 10 = 00000000 10
13  04F  7FFFFFFF 00000002 11 = 00000000 11
13  050  80000000 00000002 00 = 00000000 00
13  051  80000000 00000002 01 = 00000000 01
13  052  80000000 00000002 10 = 00000000 10
13  053  80000000 00000002 11 = 00000000 11
13  054  80000001 00000002 00 = 00000000 00
13  055  80000001 00000002 01 = 00000000 01
13  056  80000001 00000002 10 = 00000000 10
13  057  80000001 00000002 11 = 00000000 11
13  058  FFFFFFFE 00000002 00 = 00000000 00
13  059  FFFFFFFE 00000002 01 = 00000000 01
13  05A  FFFFFFFE 00000002 10 = 00000000 10
13  05B  FFFFFFFE 00000002 11 = 00000000 11
13  05C  FFFFFFFF 00000002 00 = 00000000 00
13  05D  FFFFFFFF 00000002 01 = 00000000 01
13  05E  FFFFFFFF 00000002 10 = 00000000 10
13  05F  FFFFFFFF 00000002 11 = 00000000 11
13  060  00000000 7FFFFFFF 00 = 0000000F 00
13  061  00000000 7FFFFFFF 01 = 0000000F 01
13  062  00000000 7FFFFFFF 10 = 0000000F 10
13  063  00000000 7FFFFFFF 11 = 0000000F 11
13  064  00000001 7FFFFFFF 00 = 0000000F 00
13  065  00000001 7FFFFFFF 01 = 0000000F 01
13  066  00000001 7FFFFFFF 10 = 0000000F 10
13  067  00000001 7FFFFFFF 11 = 0000000F 11
13  068  00000002 7FFFFFFF 00 = 0000000F 00
13  069  00000002 7FFFFFFF 01 = 0000000F 01
13  06A  00000002 7FFFFFFF 10 = 0000000F 10
13  06B  00000002 7FFFFFFF 11 = 0000000F 11
13  06C  7FFFFFFF 7FFFFFFF 00 = 0000000F 00
13  06D  7FFFFFFF 7FFFFFFF 01 = 0000000F 01
13  06E  7FFFFFFF 7FFFFFFF 10 = 0000000F 10
13  06F  7FFFFFFF 7FFFFFFF 11 = 0000000F 11
13  070  80000000 7FFFFFFF 00 = 0000000F 00
13  071  80000000 7FFFFFFF 01 = 0000000F 01
13  072  80000000 7FFFFFFF 10 = 0000000F 10
13  073  80000000 7FFFFFFF 11 = 0000000F 11
13  074  80000001 7FFFFFFF 00 = 0000000F 00
13  075  80000001 7FFFFFFF 01 = 0000000F 01
13  076  80000001 7FFFFFFF 10 = 0000000F 10
13  077  80000001 7FFFFFFF 11 = 0000000F 11
13  078  FFFFFFFE 7FFFFFFF 00 = 0000000F 00
13  079  FFFFFFFE 7FFFFFFF 01 = 0000000F 01
13  07A  FFFFFFFE 7FFFFFFF 10 = 0000000F 10
13  07B  FFFFFFFE 7FFFFFFF 11 = 0000000F 11
13  07C  FFFFFFFF 7FFFFFFF 00 = 0000000F 00
13  07D  FFFFFFFF 7FFFFFFF 01 = 0000000F 01
13  07E  FFFFFFFF 7FFFFFFF 10 = 0000000F 10
13  07F  FFFFFFFF 7FFFFFFF 11 = 0000000F 11
13  080  00000000 80000000 00 = 00000000 00
13  081  00000000 80000000 01 = 00000000 01
13  082  00000000 80000000 10 = 00000000 10
13  083  00000000 80000000 11 = 00000000 11
13  084  00000001 80000000 00 = 00000000 00
13  085  00000001 80000000 01 = 00000000 01
13  086  00000001 80000000 10 = 00000000 10
13  087  00000001 80000000 11 = 00000000 11
13  088  00000002 80000000 00 = 00000000 00
13  089  00000002 80000000 01 = 00000000 01
13  08A  00000002 80000000 10 = 00000000 10
13  08B  00000002 80000000 11 = 00000000 11
13  08C  7FFFFFFF 80000000 00 = 00000000 00
13  08D  7FFFFFFF 80000000 01 = 00000000 01
13  08E  7FFFFFFF 80000000 10 = 00000000 10
13  08F  7FFFFFFF 80000000 11 = 00000000 11
13  090  80000000 80000000 00 = 00000000 00
13  091  80000000 80000000 01 = 00000000 01
13  092  80000000 80000000 10 = 00000000 10
13  093  80000000 80000000 11 = 00000000 11
13  094  80000001 80000000 00 = 00000000 00
13  095  80000001 80000000 01 = 00000000 01
13  096  80000001 80000000 10 = 00000000 10
13  097  80000001 80000000 11 = 00000000 11
13  098  FFFFFFFE 80000000 00 = 00000000 00
13  099  FFFFFFFE 80000000 01 = 00000000 01
13  09A  FFFFFFFE 80000000 10 = 00000000 10
13  09B  FFFFFFFE 80000000 11 = 00000000 11
13  09C  FFFFFFFF 80000000 00 = 00000000 00
13  09D  FFFFFFFF 80000000 01 = 00000000 01
13  09E  FFFFFFFF 80000000 10 = 00000000 10
13  09F  FFFFFFFF 80000000 11 = 00000000 11
13  0A0  00000000 80000001 00 = 00000000 00
13  0A1  00000000 80000001 01 = 00000000 01
13  0A2  00000000 80000001 10 = 00000000 10
13  0A3  00000000 80000001 11 = 00000000 11
13  0A4  00000001 80000001 00 = 00000000 00
13  0A5  00000001 80000001 01 = 00000000 01
13  0A6  00000001 80000001 10 = 00000000 10
13  0A7  00000001 80000001 11 = 00000000 11
13  0A8  00000002 80000001 00 = 00000000 00
13  0A9  00000002 80000001 01 = 00000000 01
13  0AA  00000002 80000001 10 = 00000000 10
13  0AB  00000002 80000001 11 = 00000000 11
13  0AC  7FFFFFFF 80000001 00 = 00000000 00
13  0AD  7FFFFFFF 80000001 01 = 00000000 01
13  0AE  7FFFFFFF 80000001 10 = 00000000 10
13  0AF  7FFFFFFF 80000001 11 = 00000000 11
13  0B0  80000000 80000001 00 = 00000000 00
13  0B1  80000000 80000001 01 = 00000000 01
13  0B2  80000000 80000001 10 = 00000000 10
13  0B3  80000000 80000001 11 = 00000000 11
13  0B4  80000001 80000001 00 = 00000000 00
13  0B5  80000001 80000001 01 = 00000000 01
13  0B6  80000001 80000001 10 = 00000000 10
13  0B7  80000001 80000001 11 = 00000000 11
13  0B8  FFFFFFFE 80000001 00 = 00000000 00
13  0B9  FFFFFFFE 80000001 01 = 00000000 01
13  0BA  FFFFFFFE 80000001 10 = 00000000 10
13  0BB  FFFFFFFE 80000001 11 = 00000000 11
13  0BC  FFFFFFFF 80000001 00 = 00000000 00
13  0BD  FFFFFFFF 80000001 01 = 00000000 01
13  0BE  FFFFFFFF 80000001 10 = 00000000 10
13  0BF  FFFFFFFF 80000001 11 = 00000000 11
13  0C0  00000000 FFFFFFFE 00 = 0000000F 00
13  0C1  00000000 FFFFFFFE 01 = 0000000F 01
13  0C2  00000000 FFFFFFFE 10 = 0000000F 10
13  0C3  00000000 FFFFFFFE 11 = 0000000F 11
13  0C4  00000001 FFFFFFFE 00 = 0000000F 00
13  0C5  00000001 FFFFFFFE 01 = 0000000F 01
13  0C6  00000001 FFFFFFFE 10 = 0000000F 10
13  0C7  00000001 FFFFFFFE 11 = 0000000F 11
13  0C8  00000002 FFFFFFFE 00 = 0000000F 00
13  0C9  00000002 FFFFFFFE 01 = 0000000F 01
13  0CA  00000002 FFFFFFFE 10 = 0000000F 10
13  0CB  00000002 FFFFFFFE 11 = 0000000F 11
13  0CC  7FFFFFFF FFFFFFFE 00 = 0000000F 00
13  0CD  7FFFFFFF FFFFFFFE 01 = 0000000F 01
13  0CE  7FFFFFFF FFFFFFFE 10 = 0000000F 10
13  0CF  7FFFFFFF FFFFFFFE 11 = 0000000F 11
13  0D0  80000000 FFFFFFFE 00 = 0000000F 00
13  0D1  80000000 FFFFFFFE 01 = 0000000F 01
13  0D2  80000000 FFFFFFFE 10 = 0000000F 10
13  0D3  80000000 FFFFFFFE 11 = 0000000F 11
13  0D4  80000001 FFFFFFFE 00 = 0000000F 00
13  0D5  80000001 FFFFFFFE 01 = 0000000F 01
13  0D6  80000001 FFFFFFFE 10 = 0000000F 10
13  0D7  80000001 FFFFFFFE 11 = 0000000F 11
13  0D8  FFFFFFFE FFFFFFFE 00 = 0000000F 00
13  0D9  FFFFFFFE FFFFFFFE 01 = 0000000F 01
13  0DA  FFFFFFFE FFFFFFFE 10 = 0000000F 10
13  0DB  FFFFFFFE FFFFFFFE 11 = 0000000F 11
13  0DC  FFFFFFFF FFFFFFFE 00 = 0000000F 00
13  0DD  FFFFFFFF FFFFFFFE 01 = 0000000F 01
13  0DE  FFFFFFFF FFFFFFFE 10 = 0000000F 10
13  0DF  FFFFFFFF FFFFFFFE 11 = 0000000F 11
13  0E0  00000000 FFFFFFFF 00 = 0000000F 00
13  0E1  00000000 FFFFFFFF 01 = 0000000F 01
13  0E2  00000000 FFFFFFFF 10 = 0000000F 10
13  0E3  00000000 FFFFFFFF 11 = 0000000F 11
13  0E4  00000001 FFFFFFFF 00 = 0000000F 00
13  0E5  00000001 FFFFFFFF 01 = 0000000F 01
13  0E6  00000001 FFFFFFFF 10 = 0000000F 10
13  0E7  00000001 FFFFFFFF 11 = 0000000F 11
13  0E8  00000002 FFFFFFFF 00 = 0000000F 00
13  0E9  00000002 FFFFFFFF 01 = 0000000F 01
13  0EA  00000002 FFFFFFFF 10 = 0000000F 10
13  0EB  00000002 FFFFFFFF 11 = 0000000F 11
13  0EC  7FFFFFFF FFFFFFFF 00 = 0000000F 00
13  0ED  7FFFFFFF FFFFFFFF 01 = 0000000F 01
13  0EE  7FFFFFFF FFFFFFFF 10 = 0000000F 10
13  0EF  7FFFFFFF FFFFFFFF 11 = 0000000F 11
13  0F0  80000000 FFFFFFFF 00 = 0000000F 00
13  0F1  80000000 FFFFFFFF 01 = 0000000F 01
13  0F2  80000000 FFFFFFFF 10 = 0000000F 10
13  0F3  80000000 FFFFFFFF 11 = 0000000F 11
13  0F4  80000001 FFFFFFFF 00 = 0000000F 00
13  0F5  80000001 FFFFFFFF 01 = 0000000F 01
13  0F6  80000001 FFFFFFFF 10 = 0000000F 10
13  0F7  80000001 FFFFFFFF 11 = 0000000F 11
13  0F8  FFFFFFFE FFFFFFFF 00 = 0000000F 00
13  0F9  FFFFFFFE FFFFFFFF 01 = 0000000F 01
13  0FA  FFFFFFFE FFFFFFFF 10 = 0000000F 10
13  0FB  FFFFFFFE FFFFFFFF 11 = 0000000F 11
13  0FC  FFFFFFFF FFFFFFFF 00 = 0000000F 00
13  0FD  FFFFFFFF FFFFFFFF 01 = 0000000F 01
13  0FE  FFFFFFFF FFFFFFFF 10 = 0000000F 10
13  0FF  FFFFFFFF FFFFFFFF 11 = 0000000F 11
getnib4  ---D---- ---S---- CZ = ---Q---- CZ
14  000  00000000 00000000 00 = 00000000 00
14  001  00000000 00000000 01 = 00000000 01
14  002  00000000 00000000 10 = 00000000 10
14  003  00000000 00000000 11 = 00000000 11
14  004  00000001 00000000 00 = 00000000 00
14  005  00000001 00000000 01 = 00000000 01
14  006  00000001 00000000 10 = 00000000 10
14  007  00000001 00000000 11 = 00000000 11
14  008  00000002 00000000 00 = 00000000 00
14  009  00000002 00000000 01 = 00000000 01
14  00A  00000002 00000000 10 = 00000000 10
14  00B  00000002 00000000 11 = 00000000 11
14  00C  7FFFFFFF 00000000 00 = 00000000 00
14  00D  7FFFFFFF 00000000 01 = 00000000 01
14  00E  7FFFFFFF 00000000 10 = 00000000 10
14  00F  7FFFFFFF 00000000 11 = 00000000 11
14  010  80000000 00000000 00 = 00000000 00
14  011  80000000 00000000 01 = 00000000 01
14  012  80000000 00000000 10 = 00000000 10
14  013  80000000 00000000 11 = 00000000 11
14  014  80000001 00000000 00 = 00000000 00
14  015  80000001 00000000 01 = 00000000 01
14  016  80000001 00000000 10 = 00000000 10
14  017  80000001 00000000 11 = 00000000 11
14  018  FFFFFFFE 00000000 00 = 00000000 00
14  019  FFFFFFFE 00000000 01 = 00000000 01
14  01A  FFFFFFFE 00000000 10 = 00000000 10
14  01B  FFFFFFFE 00000000 11 = 00000000 11
14  01C  FFFFFFFF 00000000 00 = 00000000 00
14  01D  FFFFFFFF 00000000 01 = 00000000 01
14  01E  FFFFFFFF 00000000 10 = 00000000 10
14  01F  FFFFFFFF 00000000 11 = 00000000 11
14  020  00000000 00000001 00 = 00000000 00
14  021  00000000 00000001 01 = 00000000 01
14  022  00000000 00000001 10 = 00000000 10
14  023  00000000 00000001 11 = 00000000 11
14  024  00000001 00000001 00 = 00000000 00
14  025  00000001 00000001 01 = 00000000 01
14  026  00000001 00000001 10 = 00000000 10
14  027  00000001 00000001 11 = 00000000 11
14  028  00000002 00000001 00 = 00000000 00
14  029  00000002 00000001 01 = 00000000 01
14  02A  00000002 00000001 10 = 00000000 10
14  02B  00000002 00000001 11 = 00000000 11
14  02C  7FFFFFFF 00000001 00 = 00000000 00
14  02D  7FFFFFFF 00000001 01 = 00000000 01
14  02E  7FFFFFFF 00000001 10 = 00000000 10
14  02F  7FFFFFFF 00000001 11 = 00000000 11
14  030  80000000 00000001 00 = 00000000 00
14  031  80000000 00000001 01 = 00000000 01
14  032  80000000 00000001 10 = 00000000 10
14  033  80000000 00000001 11 = 00000000 11
14  034  80000001 00000001 00 = 00000000 00
14  035  80000001 00000001 01 = 00000000 01
14  036  80000001 00000001 10 = 00000000 10
14  037  80000001 00000001 11 = 00000000 11
14  038  FFFFFFFE 00000001 00 = 00000000 00
14  039  FFFFFFFE 00000001 01 = 00000000 01
14  03A  FFFFFFFE 00000001 10 = 00000000 10
14  03B  FFFFFFFE 00000001 11 = 00000000 11
14  03C  FFFFFFFF 00000001 00 = 00000000 00
14  03D  FFFFFFFF 00000001 01 = 00000000 01
14  03E  FFFFFFFF 00000001 10 = 00000000 10
14  03F  FFFFFFFF 00000001 11 = 00000000 11
14  040  00000000 00000002 00 = 00000000 00
14  041  00000000 00000002 01 = 00000000 01
14  042  00000000 00000002 10 = 00000000 10
14  043  00000000 00000002 11 = 00000000 11
14  044  00000001 00000002 00 = 00000000 00
14  045  00000001 00000002 01 = 00000000 01
14  046  00000001 00000002 10 = 00000000 10
14  047  00000001 00000002 11 = 00000000 11
14  048  00000002 00000002 00 = 00000000 00
14  049  00000002 00000002 01 = 00000000 01
14  04A  00000002 00000002 10 = 00000000 10
14  04B  00000002 00000002 11 = 00000000 11
14  04C  7FFFFFFF 00000002 00 = 00000000 00
14  04D  7FFFFFFF 00000002 01 = 00000000 01
14  04E  7FFFFFFF 00000002 10 = 00000000 10
14  04F  7FFFFFFF 00000002 11 = 00000000 11
14  050  80000000 00000002 00 = 00000000 00
14  051  80000000 00000002 01 = 00000000 01
14  052  80000000 00000002 10 = 00000000 10
14  053  80000000 00000002 11 = 00000000 11
14  054  80000001 00000002 00 = 00000000 00
14  055  80000001 00000002 01 = 00000000 01
14  056  80000001 00000002 10 = 00000000 10
14  057  80000001 00000002 11 = 00000000 11
14  058  FFFFFFFE 00000002 00 = 00000000 00
14  059  FFFFFFFE 00000002 01 = 00000000 01
14  05A  FFFFFFFE 00000002 10 = 00000000 10
14  05B  FFFFFFFE 00000002 11 = 00000000 11
14  05C  FFFFFFFF 00000002 00 = 00000000 00
14  05D  FFFFFFFF 00000002 01 = 00000000 01
14  05E  FFFFFFFF 00000002 10 = 00000000 10
14  05F  FFFFFFFF 00000002 11 = 00000000 11
14  060  00000000 7FFFFFFF 00 = 0000000F 00
14  061  00000000 7FFFFFFF 01 = 0000000F 01
14  062  00000000 7FFFFFFF 10 = 0000000F 10
14  063  00000000 7FFFFFFF 11 = 0000000F 11
14  064  00000001 7FFFFFFF 00 = 0000000F 00
14  065  00000001 7FFFFFFF 01 = 0000000F 01
14  066  00000001 7FFFFFFF 10 = 0000000F 10
14  067  00000001 7FFFFFFF 11 = 0000000F 11
14  068  00000002 7FFFFFFF 00 = 0000000F 00
14  069  00000002 7FFFFFFF 01 = 0000000F 01
14  06A  00000002 7FFFFFFF 10 = 0000000F 10
14  06B  00000002 7FFFFFFF 11 = 0000000F 11
14  06C  7FFFFFFF 7FFFFFFF 00 = 0000000F 00
14  06D  7FFFFFFF 7FFFFFFF 01 = 0000000F 01
14  06E  7FFFFFFF 7FFFFFFF 10 = 0000000F 10
14  06F  7FFFFFFF 7FFFFFFF 11 = 0000000F 11
14  070  80000000 7FFFFFFF 00 = 0000000F 00
14  071  80000000 7FFFFFFF 01 = 0000000F 01
14  072  80000000 7FFFFFFF 10 = 0000000F 10
14  073  80000000 7FFFFFFF 11 = 0000000F 11
14  074  80000001 7FFFFFFF 00 = 0000000F 00
14  075  80000001 7FFFFFFF 01 = 0000000F 01
14  076  80000001 7FFFFFFF 10 = 0000000F 10
14  077  80000001 7FFFFFFF 11 = 0000000F 11
14  078  FFFFFFFE 7FFFFFFF 00 = 0000000F 00
14  079  FFFFFFFE 7FFFFFFF 01 = 0000000F 01
14  07A  FFFFFFFE 7FFFFFFF 10 = 0000000F 10
14  07B  FFFFFFFE 7FFFFFFF 11 = 0000000F 11
14  07C  FFFFFFFF 7FFFFFFF 00 = 0000000F 00
14  07D  FFFFFFFF 7FFFFFFF 01 = 0000000F 01
14  07E  FFFFFFFF 7FFFFFFF 10 = 0000000F 10
14  07F  FFFFFFFF 7FFFFFFF 11 = 0000000F 11
14  080  00000000 80000000 00 = 00000000 00
14  081  00000000 80000000 01 = 00000000 01
14  082  00000000 80000000 10 = 00000000 10
