testb0   ---D---- ---S---- CZ = ---Q---- CZ
00  077  80000001 7FFFFFFF 11 = 80000001 11
00  078  FFFFFFFE 7FFFFFFF 00 = FFFFFFFE 10
00  079  FFFFFFFE 7FFFFFFF 01 = FFFFFFFE 11
00  07A  FFFFFFFE 7FFFFFFF 10 = FFFFFFFE 10
00  07B  FFFFFFFE 7FFFFFFF 11 = FFFFFFFE 11
00  07C  FFFFFFFF 7FFFFFFF 00 = FFFFFFFF 10
00  07D  FFFFFFFF 7FFFFFFF 01 = FFFFFFFF 11
00  07E  FFFFFFFF 7FFFFFFF 10 = FFFFFFFF 10
00  07F  FFFFFFFF 7FFFFFFF 11 = FFFFFFFF 11
00  080  00000000 80000000 00 = 00000000 00
00  081  00000000 80000000 01 = 00000000 01
00  082  00000000 80000000 10 = 00000000 00
00  083  00000000 80000000 11 = 00000000 01
00  084  00000001 80000000 00 = 00000001 10
00  085  00000001 80000000 01 = 00000001 11
00  086  00000001 80000000 10 = 00000001 10
00  087  00000001 80000000 11 = 00000001 11
00  088  00000002 80000000 00 = 00000002 00
00  089  00000002 80000000 01 = 00000002 01
00  08A  00000002 80000000 10 = 00000002 00
00  08B  00000002 80000000 11 = 00000002 01
00  08C  7FFFFFFF 80000000 00 = 7FFFFFFF 10
00  08D  7FFFFFFF 80000000 01 = 7FFFFFFF 11
00  08E  7FFFFFFF 80000000 10 = 7FFFFFFF 10
00  08F  7FFFFFFF 80000000 11 = 7FFFFFFF 11
00  090  80000000 80000000 00 = 80000000 00
00  091  80000000 80000000 01 = 80000000 01
00  092  80000000 80000000 10 = 80000000 00
00  093  80000000 80000000 11 = 80000000 01
00  094  80000001 80000000 00 = 80000001 10
00  095  80000001 80000000 01 = 80000001 11
00  096  80000001 80000000 10 = 80000001 10
00  097  80000001 80000000 11 = 80000001 11
00  098  FFFFFFFE 80000000 00 = FFFFFFFE 00
00  099  FFFFFFFE 80000000 01 = FFFFFFFE 01
00  09A  FFFFFFFE 80000000 10 = FFFFFFFE 00
00  09B  FFFFFFFE 80000000 11 = FFFFFFFE 01
00  09C  FFFFFFFF 80000000 00 = FFFFFFFF 10
00  09D  FFFFFFFF 80000000 01 = FFFFFFFF 11
00  09E  FFFFFFFF 80000000 10 = FFFFFFFF 10
00  09F  FFFFFFFF 80000000 11 = FFFFFFFF 11
00  0A0  00000000 80000001 00 = 00000000 00
00  0A1  00000000 80000001 01 = 00000000 01
00  0A2  00000000 80000001 10 = 00000000 00
00  0A3  00000000 80000001 11 = 00000000 01
00  0A4  00000001 80000001 00 = 00000001 00
00  0A5  00000001 80000001 01 = 00000001 01
00  0A6  00000001 80000001 10 = 00000001 00
00  0A7  00000001 80000001 11 = 00000001 01
00  0A8  00000002 80000001 00 = 00000002 10
00  0A9  00000002 80000001 01 = 00000002 11
00  0AA  00000002 80000001 10 = 00000002 10
00  0AB  00000002 80000001 11 = 00000002 11
00  0AC  7FFFFFFF 80000001 00 = 7FFFFFFF 10
00  0AD  7FFFFFFF 80000001 01 = 7FFFFFFF 11
00  0AE  7FFFFFFF 80000001 10 = 7FFFFFFF 10
00  0AF  7FFFFFFF 80000001 11 = 7FFFFFFF 11
00  0B0  80000000 80000001 00 = 80000000 00
00  0B1  80000000 80000001 01 = 80000000 01
00  0B2  80000000 80000001 10 = 80000000 00
00  0B3  80000000 80000001 11 = 80000000 01
00  0B4  80000001 80000001 00 = 80000001 00
00  0B5  80000001 80000001 01 = 80000001 01
00  0B6  80000001 80000001 10 = 80000001 00
00  0B7  80000001 80000001 11 = 80000001 01
00  0B8  FFFFFFFE 80000001 00 = FFFFFFFE 10
00  0B9  FFFFFFFE 80000001 01 = FFFFFFFE 11
00  0BA  FFFFFFFE 80000001 10 = FFFFFFFE 10
00  0BB  FFFFFFFE 80000001 11 = FFFFFFFE 11
00  0BC  FFFFFFFF 80000001 00 = FFFFFFFF 10
00  0BD  FFFFFFFF 80000001 01 = FFFFFFFF 11
00  0BE  FFFFFFFF 80000001 10 = FFFFFFFF 10
00  0BF  FFFFFFFF 80000001 11 = FFFFFFFF 11
00  0C0  00000000 FFFFFFFE 00 = 00000000 00
00  0C1  00000000 FFFFFFFE 01 = 00000000 01
00  0C2  00000000 FFFFFFFE 10 = 00000000 00
00  0C3  00000000 FFFFFFFE 11 = 00000000 01
00  0C4  00000001 FFFFFFFE 00 = 00000001 00
00  0C5  00000001 FFFFFFFE 01 = 00000001 01
00  0C6  00000001 FFFFFFFE 10 = 00000001 00
00  0C7  00000001 FFFFFFFE 11 = 00000001 01
00  0C8  00000002 FFFFFFFE 00 = 00000002 00
00  0C9  00000002 FFFFFFFE 01 = 00000002 01
00  0CA  00000002 FFFFFFFE 10 = 00000002 00
00  0CB  00000002 FFFFFFFE 11 = 00000002 01
00  0CC  7FFFFFFF FFFFFFFE 00 = 7FFFFFFF 10
00  0CD  7FFFFFFF FFFFFFFE 01 = 7FFFFFFF 11
00  0CE  7FFFFFFF FFFFFFFE 10 = 7FFFFFFF 10
00  0CF  7FFFFFFF FFFFFFFE 11 = 7FFFFFFF 11
00  0D0  80000000 FFFFFFFE 00 = 80000000 00
00  0D1  80000000 FFFFFFFE 01 = 80000000 01
00  0D2  80000000 FFFFFFFE 10 = 80000000 00
00  0D3  80000000 FFFFFFFE 11 = 80000000 01
00  0D4  80000001 FFFFFFFE 00 = 80000001 00
00  0D5  80000001 FFFFFFFE 01 = 80000001 01
00  0D6  80000001 FFFFFFFE 10 = 80000001 00
00  0D7  80000001 FFFFFFFE 11 = 80000001 01
00  0D8  FFFFFFFE FFFFFFFE 00 = FFFFFFFE 10
00  0D9  FFFFFFFE FFFFFFFE 01 = FFFFFFFE 11
00  0DA  FFFFFFFE FFFFFFFE 10 = FFFFFFFE 10
00  0DB  FFFFFFFE FFFFFFFE 11 = FFFFFFFE 11
00  0DC  FFFFFFFF FFFFFFFE 00 = FFFFFFFF 10
00  0DD  FFFFFFFF FFFFFFFE 01 = FFFFFFFF 11
00  0DE  FFFFFFFF FFFFFFFE 10 = FFFFFFFF 10
00  0DF  FFFFFFFF FFFFFFFE 11 = FFFFFFFF 11
00  0E0  00000000 FFFFFFFF 00 = 00000000 00
00  0E1  00000000 FFFFFFFF 01 = 00000000 01
00  0E2  00000000 FFFFFFFF 10 = 00000000 00
00  0E3  00000000 FFFFFFFF 11 = 00000000 01
00  0E4  00000001 FFFFFFFF 00 = 00000001 00
00  0E5  00000001 FFFFFFFF 01 = 00000001 01
00  0E6  00000001 FFFFFFFF 10 = 00000001 00
00  0E7  00000001 FFFFFFFF 11 = 00000001 01
00  0E8  00000002 FFFFFFFF 00 = 00000002 00
00  0E9  00000002 FFFFFFFF 01 = 00000002 01
00  0EA  00000002 FFFFFFFF 10 = 00000002 00
00  0EB  00000002 FFFFFFFF 11 = 00000002 01
