instr   ---r3--- ---r2--- CZ ---r1--- = ---r1--- CZ ---r2--- ---r3---
altgn/r 12345678 7893FE03 00 00000033 = 00000032 00 7893FE03 2345678F
altgn/r 12345678 7893FE03 00 00000034 = 00000033 00 7893FE03 23456783
altgn/r 12345678 7893FE03 00 00000035 = 00000034 00 7893FE03 23456789
altgn/r 12345678 7893FE03 00 00000036 = 00000035 00 7893FE03 23456788
altgn/r 12345678 7893FE03 00 00000037 = 00000036 00 7893FE03 23456787
altgn/r 12345678 7893FE03 00 00000038 = 00000037 00 7893FE03 23456788
altgn/r 12345678 7893FE03 00 00000039 = 00000038 00 7893FE03 23456787
altgn/r 12345678 7893FE03 00 0000003A = 00000039 00 7893FE03 23456786
altgn/r 12345678 7893FE03 00 0000003B = 0000003A 00 7893FE03 23456785
altgn/r 12345678 7893FE03 00 0000003C = 0000003B 00 7893FE03 23456784
altgn/r 12345678 7893FE03 00 0000003D = 0000003C 00 7893FE03 23456783
altgn/r 12345678 7893FE03 00 0000003E = 0000003D 00 7893FE03 23456782
altgn/r 12345678 7893FE03 00 0000003F = 0000003E 00 7893FE03 23456781
altgn/r 12345678 7893FE03 00 00000028 = 00000027 00 7893FE03 23456787
altgn/r 12345678 7893FE03 00 00000029 = 00000028 00 7893FE03 23456782
altgn/r 12345678 7893FE03 00 0000002A = 00000029 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002B = 0000002A 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002C = 0000002B 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002D = 0000002C 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002E = 0000002D 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002F = 0000002E 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 00000030 = 0000002F 00 7893FE03 23456783
altgn/r 12345678 7893FE03 00 00000031 = 00000030 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 00000032 = 00000031 00 7893FE03 2345678E
altgn/r 12345678 7893FE03 00 00000033 = 00000032 00 7893FE03 2345678F
altgn/r 12345678 7893FE03 00 00000034 = 00000033 00 7893FE03 23456783
altgn/r 12345678 7893FE03 00 00000035 = 00000034 00 7893FE03 23456789
altgn/r 12345678 7893FE03 00 00000036 = 00000035 00 7893FE03 23456788
altgn/r 12345678 7893FE03 00 00000037 = 00000036 00 7893FE03 23456787
altgn/r 12345678 7893FE03 00 00000038 = 00000037 00 7893FE03 23456788
altgn/r 12345678 7893FE03 00 00000039 = 00000038 00 7893FE03 23456787
altgn/r 12345678 7893FE03 00 0000003A = 00000039 00 7893FE03 23456786
altgn/r 12345678 7893FE03 00 0000003B = 0000003A 00 7893FE03 23456785
altgn/r 12345678 7893FE03 00 0000003C = 0000003B 00 7893FE03 23456784
altgn/r 12345678 7893FE03 00 0000003D = 0000003C 00 7893FE03 23456783
altgn/r 12345678 7893FE03 00 0000003E = 0000003D 00 7893FE03 23456782
altgn/r 12345678 7893FE03 00 0000003F = 0000003E 00 7893FE03 23456781
altgn/r 12345678 7893FE03 00 00000028 = 00000027 00 7893FE03 23456787
altgn/r 12345678 7893FE03 00 00000029 = 00000028 00 7893FE03 23456782
altgn/r 12345678 7893FE03 00 0000002A = 00000029 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002B = 0000002A 00 7893FE03 23456780
altgn/r 12345678 7893FE03 00 0000002C = 0000002B 00 7893FE03 23456780
